indice_1,indice_2,codigo_1,codigo_2,establecimiento_1,establecimiento_2,direccion_1,direccion_2,telefono_1,telefono_2,similitud_nombre,similitud_direccion,telefono_igual,campos_diferentes,decision,justificacion
20,21,15-01-0157-46,15-01-0160-46,LICEO SAN RAFAEL,LICEO SAN RAFAEL,ALDEA CHILASCÓ,ALDEA CHILASCÓ,50022615,50022615,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
74,75,15-03-0060-46,15-03-0062-46,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,79388037,100.0,100.0,True,"DISTRITO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
82,98,15-03-0088-46,15-03-2053-46,COLEGIO PARTICULAR MIXTO VIDA NUEVA,COLEGIO PARTICULAR MIXTO VIDA NUEVA,4A. AVENIDA 1-83 ZONA 2,4A. AVENIDA 1-83 ZONA 2,58408911,,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
83,100,15-03-0089-46,15-03-2167-46,CENTRO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN,CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACION EN COMPUTACION,3RA. CALLE 5-41 ZONA 2,3A. CALLE 5-41 ZONA 2,79388223,79388223,100.0,97.56,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
90,93,15-03-0778-46,15-03-1888-46,CENTRO CULTURAL DE AMERICA,CENTRO CULTURAL DE AMERICA,3A. CALLE 3-64 ZONA 2,3A. CALLE 3-64 ZONA 2,79388718,79388718,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
115,116,15-04-0268-46,15-04-0269-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA LOS PAJALES,"CASERÍO CHIRRAMOS, ALDEA LOS PAJALES",32276501,49565089,100.0,100.0,False,"DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
115,119,15-04-0268-46,15-04-0272-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA LOS PAJALES,"CASERÍO CHITOMAX, ALDEA LOS PAJALES",32276501,53073375,100.0,100.0,False,"DISTRITO, DIRECCION, TELEFONO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
116,119,15-04-0269-46,15-04-0272-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"CASERÍO CHIRRAMOS, ALDEA LOS PAJALES","CASERÍO CHITOMAX, ALDEA LOS PAJALES",49565089,53073375,100.0,86.96,False,"DISTRITO, DIRECCION, TELEFONO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
122,125,15-04-0275-46,15-04-0278-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"CASERÍO LA ESTANCIA, ALDEA PATZIJÓN","CASERÍO LA LAGUNA PATZIJÓN, ALDEA PATZIJÓN",51615845,40864512,100.0,87.88,False,"DISTRITO, DIRECCION, TELEFONO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
185,212,16-01-0481-46,16-01-0664-46,LICEO AMERICANO DEL NORTE,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,5TA. AVENIDA 2-23 ZONA 4,79514754,79514754,100.0,83.33,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
